5063	36944
42055	45061
1162	16693
24977	35618
162	26169
12288	27252
10406	12432
22728	12710
36931	19041
48536	4103
10248	11737
5130	18792
37125	593
51216	27516
34028	20482
33609	41348
48016	19665
18496	8692
16454	41154
57373	868
713	5167
28009	34812
41852	6408
5894	4627
33046	33936
63164	12295
11544	41780
28688	593
55828	13665
11900	25832
5568	50084
60764	61196
16518	4518
57440	5681
3101	2273
16624	36098
36301	27744
33126	9394
35576	29484
20672	56480
37410	35082
371	58058
38221	18543
33076	13111
60076	1808
8324	8365
35377	10949
32792	17624
5156	22071
32834	47752
9768	20220
12466	7480
10320	23929
1336	16471
38084	24925
44832	33537
49760	45059
16518	58369
8404	27014
2304	186
6450	15989
52309	19024
24688	41179
45459	17421
33049	25740
132	4838
1648	6248
628	20773
49197	4096
33401	1515
33126	1193
10640	11596
33518	30997
31337	11403
35888	8449
5192	7244
8960	37746
1232	50241
2194	60871
17424	55553
2625	16738
25680	17468
59010	33414
5216	43017
41700	19916
40716	21300
13426	2346
30880	49553
50019	22777
53185	724
32966	8658
16916	13729
8768	57646
4801	49746
9025	881
7072	33281
49541	152
28013	204
16657	25676
2328	28745
3144	38170
51249	17625
3723	52888
36884	6764
35164	30001
25156	5537
17057	57043
56	49152
1185	36482
9174	3153
58457	62752
529	9478
8324	41554
28166	35332
63440	55232
3104	3635
1945	20386
64557	41954
11106	50713
38945	25237
27408	8837
33580	6249
9313	20910
18954	11210
40240	45086
32872	16513
50722	12850
43018	20650
13468	32772
35915	38404
18451	2066
37493	7832
17297	24708
64770	18975
48035	43915
5276	19734
37035	37260
9732	51906
4103	17706
30982	17324
34911	571
4107	25246
20627	12979
3200	38771
33352	9688
15776	4288
1593	50229
140	26699
5175	65363
2752	41056
129	64410
32064	45481
4096	17410
25296	16681
21564	10054
14070	24962
42115	23980
363	37930
49761	16724
12419	43623
47144	8393
41031	22050
20615	8868
36434	55108
34624	19633
15376	12946
26696	1557
780	1734
2348	4470
2735	41264
3707	17664
5424	61969
8540	31136
2150	5240
4942	35017
5512	18945
38560	25579
8194	24029
30723	49415
36234	20437
25739	50332
33183	53839
33860	62212
63562	51688
36885	5377
39560	1818
2048	20752
5514	34354
259	50337
26966	5344
7387	10432
17471	62917
49323	35489
51224	10568
37264	47233
39596	4954
2226	9745
54787	41512
1039	3805
536	17922
15548	14849
2612	9102
26725	10463
36884	17924
36129	16957
14752	4096
162	34320
49739	30092
8629	892
11146	9221
3339	3440
2176	25113
49320	4186
58705	65162
26112	16460
12289	529
33852	52033
43012	16479
30726	18626
8584	8849
51600	27047
6048	36452
185	18464
17984	9126
63659	15525
5409	52862
23804	15324
32769	17872
11460	38345
1467	14507
3673	61698
21636	42111
61697	1261
3180	8960
52494	16901
55440	7220
8657	49189
16448	600
18147	13464
43808	61040
